Type,Interactions,Allergies,Review,Use,Drug,Indication,AvoidUse,Sides,Condition
 otc,"Some products that may interact with this drug include: antihistamines applied to the skin (such as diphenhydramine cream, ointment, spray).",ANTIHISTAMINES  ANTIHISTAMINES - ETHANOLAMINE,4  User Reviews        ,"Diphenhydramine  is an  antihistamine  used to relieve symptoms of  allergy ,  hay fever , and the  common cold . These symptoms include  rash ,  itching , watery  eyes , itchy  eyes /nose/throat,  cough ,  runny nose , and  sneezing . It is also used to prevent and treat  nausea ,  vomiting  and  dizziness  caused by motion sickness. Diphenhydramine can also be used to help you relax and fall asleep.",Wal-dryl Allergy oral, label,"Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Stenosing Peptic Ulcer, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder, overactive thyroid gland","Drowsiness, dizziness,  constipation ,  stomach  upset, blurred  vision , or  dry mouth /nose/throat may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Vertigo
 otc,"Some products that may interact with this drug include: antihistamines applied to the skin (such as diphenhydramine cream, ointment, spray).",ANTIHISTAMINES  ANTIHISTAMINES - ETHANOLAMINE,4  User Reviews        ,"Diphenhydramine  is an  antihistamine  used to relieve symptoms of  allergy ,  hay fever , and the  common cold . These symptoms include  rash ,  itching , watery  eyes , itchy  eyes /nose/throat,  cough ,  runny nose , and  sneezing . It is also used to prevent and treat  nausea ,  vomiting  and  dizziness  caused by motion sickness. Diphenhydramine can also be used to help you relax and fall asleep.",Nytol oral, label,"Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Stenosing Peptic Ulcer, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder, overactive thyroid gland","Drowsiness, dizziness,  constipation ,  stomach  upset, blurred  vision , or  dry mouth /nose/throat may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Vertigo
 otc,"Some products that may interact with this drug include: antihistamines applied to the skin (such as diphenhydramine cream, ointment, spray).",ANTIHISTAMINES  ANTIHISTAMINES - ETHANOLAMINE,4  User Reviews        ,"Diphenhydramine  is an  antihistamine  used to relieve symptoms of  allergy ,  hay fever , and the  common cold . These symptoms include  rash ,  itching , watery  eyes , itchy  eyes /nose/throat,  cough ,  runny nose , and  sneezing . It is also used to prevent and treat  nausea ,  vomiting  and  dizziness  caused by motion sickness. Diphenhydramine can also be used to help you relax and fall asleep.",Diphenhist oral, label,"Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Stenosing Peptic Ulcer, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder, overactive thyroid gland","Drowsiness, dizziness,  constipation ,  stomach  upset, blurred  vision , or  dry mouth /nose/throat may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Vertigo
 otc,"Some products that may interact with this drug include: antihistamines applied to the skin (such as diphenhydramine cream, ointment, spray).",ANTIHISTAMINES  ANTIHISTAMINES - ETHANOLAMINE,5  User Reviews        ,"Diphenhydramine  is an  antihistamine  used to relieve symptoms of  allergy ,  hay fever , and the  common cold . These symptoms include  rash ,  itching , watery  eyes , itchy  eyes /nose/throat,  cough ,  runny nose , and  sneezing . It is also used to prevent and treat  nausea ,  vomiting  and  dizziness  caused by motion sickness. Diphenhydramine can also be used to help you relax and fall asleep.",Q-Dryl oral, label,"Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Stenosing Peptic Ulcer, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder, overactive thyroid gland","Drowsiness, dizziness,  constipation ,  stomach  upset, blurred  vision , or  dry mouth /nose/throat may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Vertigo
 otc,"Some products that may interact with this drug include: antihistamines applied to the skin (such as diphenhydramine cream, ointment, spray).",ANTIHISTAMINES  ANTIHISTAMINES - ETHANOLAMINE,Be the first to review it,"Diphenhydramine  is an  antihistamine  used to relieve symptoms of  allergy ,  hay fever , and the  common cold . These symptoms include  rash ,  itching , watery  eyes , itchy  eyes /nose/throat,  cough ,  runny nose , and  sneezing . It is also used to prevent and treat  nausea ,  vomiting  and  dizziness  caused by motion sickness. Diphenhydramine can also be used to help you relax and fall asleep.",Children's Allergy Relief (diphenhyd) oral, label,"Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Stenosing Peptic Ulcer, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder, overactive thyroid gland","Drowsiness, dizziness,  constipation ,  stomach  upset, blurred  vision , or  dry mouth /nose/throat may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Vertigo
 otc,"Some products that may interact with this drug include: antihistamines applied to the skin (such as diphenhydramine cream, ointment, spray).",ANTIHISTAMINES  ANTIHISTAMINES - ETHANOLAMINE,Be the first to review it,"Diphenhydramine  is an  antihistamine  used to relieve symptoms of  allergy ,  hay fever , and the  common cold . These symptoms include  rash ,  itching , watery  eyes , itchy  eyes /nose/throat,  cough ,  runny nose , and  sneezing . It is also used to prevent and treat  nausea ,  vomiting  and  dizziness  caused by motion sickness. Diphenhydramine can also be used to help you relax and fall asleep.",Children's Wal-Dryl Allergy oral, label,"Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Stenosing Peptic Ulcer, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder, overactive thyroid gland","Drowsiness, dizziness,  constipation ,  stomach  upset, blurred  vision , or  dry mouth /nose/throat may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Vertigo
 otc,"Some products that may interact with this drug include: antihistamines applied to the skin (such as diphenhydramine cream, ointment, spray).",ANTIHISTAMINES  ANTIHISTAMINES - ETHANOLAMINE,Be the first to review it,"Diphenhydramine  is an  antihistamine  used to relieve symptoms of  allergy ,  hay fever , and the  common cold . These symptoms include  rash ,  itching , watery  eyes , itchy  eyes /nose/throat,  cough ,  runny nose , and  sneezing . It is also used to prevent and treat  nausea ,  vomiting  and  dizziness  caused by motion sickness. Diphenhydramine can also be used to help you relax and fall asleep.",Children's Allergy (diphenhydramine) oral, label,"Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Stenosing Peptic Ulcer, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder, overactive thyroid gland","Drowsiness, dizziness,  constipation ,  stomach  upset, blurred  vision , or  dry mouth /nose/throat may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Vertigo
 otc,"Some products that may interact with this drug include: antihistamines applied to the skin (such as diphenhydramine cream, ointment, spray).",ANTIHISTAMINES  ANTIHISTAMINES - ETHANOLAMINE,Be the first to review it,"Diphenhydramine  is an  antihistamine  used to relieve symptoms of  allergy ,  hay fever , and the  common cold . These symptoms include  rash ,  itching , watery  eyes , itchy  eyes /nose/throat,  cough ,  runny nose , and  sneezing . It is also used to prevent and treat  nausea ,  vomiting  and  dizziness  caused by motion sickness. Diphenhydramine can also be used to help you relax and fall asleep.",Valu-Dryl Child's Allergy oral, label,"Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Stenosing Peptic Ulcer, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder, overactive thyroid gland","Drowsiness, dizziness,  constipation ,  stomach  upset, blurred  vision , or  dry mouth /nose/throat may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Vertigo
 otc,"Drug interactions may change how your medications work or increase your risk for serious side effects. This document does not contain all possible drug interactions. Keep a list of all the products you use (including prescription/nonprescription drugs and herbal products) and share it with your doctor and pharmacist. Do not start, stop, or change the dosage of any medicines without your doctor's approval.",ACETAMINOPHEN   ANTIHISTAMINES  ANTIHISTAMINES - ETHANOLAMINE   SYMPATHOMIMETIC AGENTS  EPHEDRINE ANALOGUES,Be the first to review it,"This combination medication is used to temporarily treat symptoms caused by the  common cold ,  flu ,  allergies , or other breathing illnesses (such as  sinusitis ,  bronchitis ).  Decongestants  help relieve stuffy nose,  sinus , and ear congestion symptoms. Acetaminophen (APAP) is a non- aspirin  pain reliever and fever reducer.  Antihistamines  help relieve watery  eyes , itchy  eyes /nose/throat,  runny nose , and  sneezing .",Diphedryl oral, label,"Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Stenosing Peptic Ulcer, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder, overactive thyroid gland",See also Warning section.,Vertigo
 otc,"Some products that may interact with this drug include:  antihistamines  applied to the  skin  (such as  diphenhydramine  cream, ointment, spray).",ANTIHISTAMINES  ANTIHISTAMINES - PIPERAZINE,6  User Reviews        ,"Meclizine  is an  antihistamine  that is used to prevent and treat  nausea ,  vomiting , and  dizziness  caused by motion sickness. It may also be used to reduce dizziness and loss of balance ( vertigo ) caused by inner ear problems.",Dramamine Less Drowsy oral, label,"closed angle glaucoma, Chronic Difficulty having a Bowel Movement, Narrowing of Opening Between Stomach and Small Intestine, Liver Problems, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder","Drowsiness,  dry mouth , and tiredness may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Vertigo
 otc,"Some products that may interact with this drug include:  antihistamines  applied to the  skin  (such as  diphenhydramine  cream, ointment, spray).",ANTIHISTAMINES  ANTIHISTAMINES - PIPERAZINE,7  User Reviews        ,"Meclizine  is an  antihistamine  that is used to prevent and treat  nausea ,  vomiting , and  dizziness  caused by motion sickness. It may also be used to reduce dizziness and loss of balance ( vertigo ) caused by inner ear problems.",Medi-Meclizine oral, label,"closed angle glaucoma, Chronic Difficulty having a Bowel Movement, Narrowing of Opening Between Stomach and Small Intestine, Liver Problems, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder","Drowsiness,  dry mouth , and tiredness may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Vertigo
 rx,"Keep a list of all your  medications  with you, and share the list with your doctor and pharmacist.",ANTIHISTAMINES  ANTIHISTAMINES - ETHANOLAMINE,1  User Reviews        ,Consult your pharmacist.,diphenhydramine HCl in 0.9 % sodium chloride intravenous, label,"Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Stenosing Peptic Ulcer, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder, overactive thyroid gland",Consult your pharmacist.,Vertigo
 otc,"Some products that may interact with this drug include: antihistamines applied to the skin (such as diphenhydramine cream, ointment, spray).",ANTIHISTAMINES  ANTIHISTAMINES - ETHANOLAMINE,8  User Reviews        ,"Diphenhydramine  is an  antihistamine  used to relieve symptoms of  allergy ,  hay fever , and the  common cold . These symptoms include  rash ,  itching , watery  eyes , itchy  eyes /nose/throat,  cough ,  runny nose , and  sneezing . It is also used to prevent and treat  nausea ,  vomiting  and  dizziness  caused by motion sickness. Diphenhydramine can also be used to help you relax and fall asleep.",Unisom SleepMelts oral, label,"Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Stenosing Peptic Ulcer, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder, overactive thyroid gland","Drowsiness, dizziness,  constipation ,  stomach  upset, blurred  vision , or  dry mouth /nose/throat may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Vertigo
 otc,"Some products that may interact with this drug include: antihistamines applied to the skin (such as diphenhydramine cream, ointment, spray).",ANTIHISTAMINES  ANTIHISTAMINES - ETHANOLAMINE,8  User Reviews        ,"Diphenhydramine  is an  antihistamine  used to relieve symptoms of  allergy ,  hay fever , and the  common cold . These symptoms include  rash ,  itching , watery  eyes , itchy  eyes /nose/throat,  cough ,  runny nose , and  sneezing . It is also used to prevent and treat  nausea ,  vomiting  and  dizziness  caused by motion sickness. Diphenhydramine can also be used to help you relax and fall asleep.",Unisom Sleepgels oral, label,"Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Stenosing Peptic Ulcer, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder, overactive thyroid gland","Drowsiness, dizziness,  constipation ,  stomach  upset, blurred  vision , or  dry mouth /nose/throat may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Vertigo
 otc,"Some products that may interact with this drug include: antihistamines applied to the skin (such as diphenhydramine cream, ointment, spray).",ANTIHISTAMINES  ANTIHISTAMINES - ETHANOLAMINE,11  User Reviews        ,"Diphenhydramine  is an  antihistamine  used to relieve symptoms of  allergy ,  hay fever , and the  common cold . These symptoms include  rash ,  itching , watery  eyes , itchy  eyes /nose/throat,  cough ,  runny nose , and  sneezing . It is also used to prevent and treat  nausea ,  vomiting  and  dizziness  caused by motion sickness. Diphenhydramine can also be used to help you relax and fall asleep.",Wal-Som (diphenhydramine) oral, label,"Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Stenosing Peptic Ulcer, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder, overactive thyroid gland","Drowsiness, dizziness,  constipation ,  stomach  upset, blurred  vision , or  dry mouth /nose/throat may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Vertigo
 otc,"Some products that may interact with this drug include: antihistamines applied to the skin (such as diphenhydramine cream, ointment, spray).",ANTIHISTAMINES  ANTIHISTAMINES - ETHANOLAMINE,16  User Reviews        ,"Diphenhydramine  is an  antihistamine  used to relieve symptoms of  allergy ,  hay fever , and the  common cold . These symptoms include  rash ,  itching , watery  eyes , itchy  eyes /nose/throat,  cough ,  runny nose , and  sneezing . It is also used to prevent and treat  nausea ,  vomiting  and  dizziness  caused by motion sickness. Diphenhydramine can also be used to help you relax and fall asleep.",Sleep Aid (diphenhydramine) oral, label,"Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Stenosing Peptic Ulcer, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder, overactive thyroid gland","Drowsiness, dizziness,  constipation ,  stomach  upset, blurred  vision , or  dry mouth /nose/throat may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Vertigo
 otc,"Some products that may interact with this drug include:  antihistamines  applied to the  skin  (such as  diphenhydramine  cream, ointment, spray).",ANTIHISTAMINES  ANTIHISTAMINES - PIPERAZINE,27  User Reviews        ,"Meclizine  is an  antihistamine  that is used to prevent and treat  nausea ,  vomiting , and  dizziness  caused by motion sickness. It may also be used to reduce dizziness and loss of balance ( vertigo ) caused by inner ear problems.",Bonine oral, label,"closed angle glaucoma, Chronic Difficulty having a Bowel Movement, Narrowing of Opening Between Stomach and Small Intestine, Liver Problems, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder","Drowsiness,  dry mouth , and tiredness may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Vertigo
 otc,"Some products that may interact with this drug include: antihistamines applied to the skin (such as diphenhydramine cream, ointment, spray).",ANTIHISTAMINES  ANTIHISTAMINES - ETHANOLAMINE,39  User Reviews        ,"Diphenhydramine  is an  antihistamine  used to relieve symptoms of  allergy ,  hay fever , and the  common cold . These symptoms include  rash ,  itching , watery  eyes , itchy  eyes /nose/throat,  cough ,  runny nose , and  sneezing . It is also used to prevent and treat  nausea ,  vomiting  and  dizziness  caused by motion sickness. Diphenhydramine can also be used to help you relax and fall asleep.",Benadryl Allergy oral, label,"Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Stenosing Peptic Ulcer, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder, overactive thyroid gland","Drowsiness, dizziness,  constipation ,  stomach  upset, blurred  vision , or  dry mouth /nose/throat may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Vertigo
 otc,"Some products that may interact with this drug include: antihistamines applied to the skin (such as diphenhydramine cream, ointment, spray).",ANTIHISTAMINES  ANTIHISTAMINES - ETHANOLAMINE,132  User Reviews        ,"Diphenhydramine  is an  antihistamine  used to relieve symptoms of  allergy ,  hay fever , and the  common cold . These symptoms include  rash ,  itching , watery  eyes , itchy  eyes /nose/throat,  cough ,  runny nose , and  sneezing . It is also used to prevent and treat  nausea ,  vomiting  and  dizziness  caused by motion sickness. Diphenhydramine can also be used to help you relax and fall asleep.",ZzzQuil oral, label,"Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Stenosing Peptic Ulcer, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder, overactive thyroid gland","Drowsiness, dizziness,  constipation ,  stomach  upset, blurred  vision , or  dry mouth /nose/throat may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Vertigo
 rxotc,"Some products that may interact with this drug include: antihistamines applied to the skin (such as diphenhydramine cream, ointment, spray).",ANTIHISTAMINES  ANTIHISTAMINES - ETHANOLAMINE,182  User Reviews        ,"Diphenhydramine  is an  antihistamine  used to relieve symptoms of  allergy ,  hay fever , and the  common cold . These symptoms include  rash ,  itching , watery  eyes , itchy  eyes /nose/throat,  cough ,  runny nose , and  sneezing . It is also used to prevent and treat  nausea ,  vomiting  and  dizziness  caused by motion sickness. Diphenhydramine can also be used to help you relax and fall asleep.",diphenhydramine oral, label,"Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Stenosing Peptic Ulcer, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder, overactive thyroid gland","Drowsiness, dizziness,  constipation ,  stomach  upset, blurred  vision , or  dry mouth /nose/throat may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Vertigo
 otc,"To help your doctor and pharmacist give you the best care, be sure to tell your doctor and pharmacist about all the products you use (including prescription drugs, nonprescription drugs, and herbal products) before starting treatment with this product. While using this product, do not start, stop, or change the dosage of any other medicines you are using without your doctor's approval.",ANTIHISTAMINES  ANTIHISTAMINES - ETHANOLAMINE   SYMPATHOMIMETIC AGENTS  EPHEDRINE ANALOGUES  ANTIHISTAMINES - ALKYLAMINE  MENTHOL CONTAIN PROD  ANTIHISTAMINES - ETHYLENEDIAMINE,2  User Reviews        ,"This combination  medication  is used to temporarily relieve symptoms caused by the  common cold ,  flu ,  allergies , or other breathing illnesses (such as  sinusitis ,  bronchitis ).  Antihistamines  help relieve watery  eyes , itchy  eyes /nose/throat,  runny nose , and  sneezing .  Decongestants  help to relieve stuffy nose and ear congestion symptoms.",Antihistamine oral, label,"Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Stenosing Peptic Ulcer, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder, overactive thyroid gland","Drowsiness,  dizziness ,  dry mouth /nose/throat,  headache ,  upset stomach ,  constipation , or  trouble sleeping  may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Vertigo
 otc,"Some products that may interact with this drug include: antihistamines applied to the skin (such as diphenhydramine cream, ointment, spray).",ANTIHISTAMINES  ANTIHISTAMINES - ETHANOLAMINE,185  User Reviews        ,"Diphenhydramine  is an  antihistamine  used to relieve symptoms of  allergy ,  hay fever , and the  common cold . These symptoms include  rash ,  itching , watery  eyes , itchy  eyes /nose/throat,  cough ,  runny nose , and  sneezing . It is also used to prevent and treat  nausea ,  vomiting  and  dizziness  caused by motion sickness. Diphenhydramine can also be used to help you relax and fall asleep.",Benadryl oral, label,"Increased Pressure in the Eye, closed angle glaucoma, Chronic Difficulty having a Bowel Movement, High Blood Pressure, Stenosing Peptic Ulcer, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder, overactive thyroid gland","Drowsiness, dizziness,  constipation ,  stomach  upset, blurred  vision , or  dry mouth /nose/throat may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Vertigo
 rxotc,"Some products that may interact with this drug include:  antihistamines  applied to the  skin  (such as  diphenhydramine  cream, ointment, spray).",ANTIHISTAMINES  ANTIHISTAMINES - PIPERAZINE,280  User Reviews        ,"Meclizine  is an  antihistamine  that is used to prevent and treat  nausea ,  vomiting , and  dizziness  caused by motion sickness. It may also be used to reduce dizziness and loss of balance ( vertigo ) caused by inner ear problems.",meclizine oral, label,"closed angle glaucoma, Chronic Difficulty having a Bowel Movement, Narrowing of Opening Between Stomach and Small Intestine, Liver Problems, Blockage of Urinary Bladder, Enlarged Prostate, Cannot Empty Bladder","Drowsiness,  dry mouth , and tiredness may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Vertigo
 rx,"Some products that may interact with this drug include: "" blood thinners "" (e.g., warfarin), live bacterial vaccines,  methotrexate , NSAIDs (e.g., aspirin,  indomethacin ), tetracyclines.",PENICILLINS   BETALACTAMS  ANESTHETICS - ESTER TYPE,4  User Reviews        ,This medication is used to treat a wide variety of  bacterial infections . This medication is known as a long-acting natural  penicillin  antibiotic. It works by stopping the growth of bacteria.,penicillin G benzathine and procaine intramuscular, label,"Severe Renal Impairment, Clostridium difficile colitis","Pain at the injection site,  nausea , or  vomiting  may occur. If these effects persist or worsen, tell your doctor or pharmacist promptly.",Strep Throat (Pharyngitis - Streptococcus Pyogenes)
 rx,One product that may interact with this drug is: methotrexate.,PENICILLINS   BETALACTAMS,10  User Reviews        ,Penicillin  G benzathine is used to treat a wide variety of  bacterial infections . It may also be used to prevent certain bacterial infections (such as  rheumatic fever ). This medication is a long-acting penicillin antibiotic. It works by stopping the growth of bacteria.,penicillin G benzathine intramuscular, label,"Severe Renal Impairment, Clostridium difficile colitis","Pain at the injection site,  nausea , or  vomiting  may occur. If any of these effects last or get worse, tell your doctor or pharmacist promptly.",Strep Throat (Pharyngitis - Streptococcus Pyogenes)
 rx,"Some products that may interact with this drug are: drugs that decrease stomach acid (such as antacids, H2 blockers such as ranitidine).",CEPHALOSPORINS   BETALACTAMS,17  User Reviews        ,Cefditoren  is used to treat a wide variety of  bacterial infections . This  medication  belongs to a class of drugs known as cephalosporin  antibiotics . It works by stopping the growth of bacteria.,Spectracef oral, label,"Clostridium difficile colitis, Carnitine Deficiency, Moderate to Severe Kidney Impairment, Decrease in the Blood-Clotting Protein Prothrombin","Diarrhea ,  nausea ,  vomiting , or  headache  may occur. If any of these effects last or get worse, tell your doctor or pharmacist promptly.",Strep Throat (Pharyngitis - Streptococcus Pyogenes)
 rx,"To help your doctor and pharmacist give you the best care, be sure to tell your doctor and pharmacist about all the products you use (including prescription drugs, nonprescription drugs, and herbal products) before starting treatment with this product. While using this product, do not start, stop, or change the dosage of any other medicines you are using without your doctor's approval.",PENICILLINS   BETALACTAMS,20  User Reviews        ,Amoxicillin  is used to treat a wide variety of  bacterial infections . This  medication  is a  penicillin -type antibiotic. It works by stopping the growth of bacteria.,Moxatag oral, label,"Mono, Liver Problems, Blockage of Normal Bile Flow, Severe Renal Impairment, Clostridium difficile colitis","Nausea ,  vomiting , or  diarrhea  may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Strep Throat (Pharyngitis - Streptococcus Pyogenes)
 rx,"Some products that may interact with this drug include: street drugs (such as  methamphetamine , MDMA/""ecstasy"").",MODAFINIL ENTANTIOMERS,583  User Reviews        ,"Modafinil  reduces extreme sleepiness due to  narcolepsy  and other  sleep disorders , such as periods of stopped breathing during  sleep  ( obstructive sleep apnea ). It is also used to help you stay awake during work hours if you have a work schedule that keeps you from having a normal sleep routine (shift work  sleep disorder ).",Provigil oral, label,"Depression, Aggressive Behavior, High Blood Pressure, Heart Attack, Unpredictable Severe Constricting Chest Pain, Disease of Inadequate Blood Flow to the Heart Muscle, Mitral Valve Prolapse Syndrome, Left Ventricular Hypertrophy, Severe Liver Disease, Severe Renal Impairment, Behaving with Excessive Cheerfulness and Activity, Mental Disorder with Loss of Normal Personality & Reality, Having Thoughts of Suicide","Headache ,  nausea , nervousness,  dizziness , or difficulty sleeping may occur. If any of these effects persist or worsen, tell your doctor or pharmacist promptly.",Sleep Apnea
 otc,"Keep a list of all your  medications  with you, and share the list with your doctor and pharmacist.",ANESTHETICS - ESTER TYPE   DEXTROMETHORPHAN ANALOGU  MENTHOL CONTAIN PROD,Be the first to review it,Consult your pharmacist.,dextromethorphan-benzocaine-menthol oral, label,systemic mastocytosis,Consult your pharmacist.,Sore Throat
 otc,"Keep a list of all your  medications  with you, and share the list with your doctor and pharmacist.",ANESTHETICS - ESTER TYPE   DEXTROMETHORPHAN ANALOGU,Be the first to review it,Consult your pharmacist.,Sore Throat and Cough oral, label,systemic mastocytosis,Consult your pharmacist.,Sore Throat
 otc,"Keep a list of all your  medications  with you, and share the list with your doctor and pharmacist.",ANESTHETICS - ESTER TYPE,Be the first to review it,Consult your pharmacist.,Oral Pain Reliever mucous membrane, label,"systemic mastocytosis, Glucose-6-Phosphate Dehydrogenase (G6PD) Deficiency, Anemia from Pyruvate Kinase and G6PD Deficiencies, Deficiency of the Blood Enzyme Cytochrome b5 Reductase, Methemoglobinemia",Consult your pharmacist.,Sore Throat
 otc,"Keep a list of all your  medications  with you, and share the list with your doctor and pharmacist.", ,Be the first to review it,Consult your pharmacist.,Sore Throat Relief (pectin) mucous membrane, label,PECTIN,Consult your pharmacist.,Sore Throat
 otc,"Keep a list of all your  medications  with you, and share the list with your doctor and pharmacist.",ANESTHETICS - ESTER TYPE,Be the first to review it,Consult your pharmacist.,Orabase (benzocaine) mucous membrane, label,"systemic mastocytosis, Glucose-6-Phosphate Dehydrogenase (G6PD) Deficiency, Anemia from Pyruvate Kinase and G6PD Deficiencies, Deficiency of the Blood Enzyme Cytochrome b5 Reductase, Methemoglobinemia",Consult your pharmacist.,Sore Throat
 otc,"Keep a list of all your  medications  with you, and share the list with your doctor and pharmacist.", ,Be the first to review it,Consult your pharmacist.,Throat Drops mucous membrane, label,PECTIN,Consult your pharmacist.,Sore Throat
 otc,"Keep a list of all your  medications  with you, and share the list with your doctor and pharmacist.", ,Be the first to review it,Consult your pharmacist.,pectin mucous membrane, label,PECTIN,Consult your pharmacist.,Sore Throat
 otc,"Keep a list of all your  medications  with you, and share the list with your doctor and pharmacist.",ANESTHETICS - ESTER TYPE   DEXTROMETHORPHAN ANALOGU,Be the first to review it,Consult your pharmacist.,dextromethorphan-benzocaine oral, label,systemic mastocytosis,Consult your pharmacist.,Sore Throat
 otc,"Keep a list of all your  medications  with you, and share the list with your doctor and pharmacist.",ANESTHETICS - ESTER TYPE  MENTHOL CONTAIN PROD,Be the first to review it,Consult your pharmacist.,benzocaine-menthol-cetylpyridium mucous membrane, label,"systemic mastocytosis, Glucose-6-Phosphate Dehydrogenase (G6PD) Deficiency, Anemia from Pyruvate Kinase and G6PD Deficiencies, Deficiency of the Blood Enzyme Cytochrome b5 Reductase, Methemoglobinemia",Consult your pharmacist.,Sore Throat
 otc,"Keep a list of all your  medications  with you, and share the list with your doctor and pharmacist.",ANESTHETICS - ESTER TYPE   DEXTROMETHORPHAN ANALOGU  MENTHOL CONTAIN PROD,1  User Reviews        ,Consult your pharmacist.,Chloraseptic Total oral, label,systemic mastocytosis,Consult your pharmacist.,Sore Throat
